ProduktID;Datum;PLZ;Einheiten;Umsatz;Land
725;2001-01-15;T5V;1;115,4475;Kanada
767;2001-01-15;T5K;1;104,9475;Kanada
768;2001-01-15;V6Z;1;104,9475;Kanada
770;2001-01-15;V6H;1;257,1975;Kanada
1065;2001-01-15;T2T;1;296,5725;Kanada
2235;2001-01-15;T5K;1;65,5725;Kanada
2255;2001-01-15;V6M;1;57,6975;Kanada
396;2001-01-15;T6T;1;857,0625;Kanada
396;2001-01-15;V6T;1;857,0625;Kanada
604;2001-01-15;V6H;1;461,7375;Kanada
676;2001-01-15;T6E;1;801,9375;Kanada
767;2001-01-15;T6V;1;104,9475;Kanada
768;2001-01-15;T2R;1;104,9475;Kanada
1489;2001-01-15;T3R;1;262,395;Kanada
1948;2001-01-15;R2G;1;296,5725;Kanada
2064;2001-01-15;T3R;1;488,1975;Kanada
2070;2001-01-15;T6T;1;519,6975;Kanada
2234;2001-01-15;T5K;1;65,5725;Kanada
2235;2001-01-15;V5W;1;65,5725;Kanada
609;2001-01-15;T6T;1;778,8375;Kanada
757;2001-01-15;V7Y;1;83,9475;Kanada
768;2001-01-15;T5Y;1;102,3225;Kanada
795;2001-01-15;V5Z;1;275,5725;Kanada
837;2001-01-15;V7M;1;813,6975;Kanada
2234;2001-01-15;V6E;1;65,5725;Kanada
2235;2001-01-15;V6T;1;65,5725;Kanada
2254;2001-01-15;V7M;1;57,6975;Kanada
726;2001-01-15;T5V;1;115,4475;Kanada
767;2001-01-15;T5Y;1;102,3225;Kanada
767;2001-01-15;V6Z;1;104,9475;Kanada
768;2001-01-15;T5K;1;104,9475;Kanada
770;2001-01-15;V5V;1;257,1975;Kanada
797;2001-01-15;T2J;1;301,8225;Kanada
992;2001-01-15;V6T;1;288,6975;Kanada
1005;2001-01-15;T2X;1;107,5725;Kanada
2056;2001-01-15;T2X;1;325,4475;Kanada
2235;2001-01-15;R3N;1;65,5725;Kanada
2235;2001-01-15;M5X;1;65,5725;Kanada
522;2001-01-15;M5L;1;624,75;Kanada
726;2001-01-15;K1R;1;115,4475;Kanada
728;2001-01-15;K1Y;2;125,895;Kanada
767;2001-01-15;R3G;1;104,9475;Kanada
1449;2001-01-15;K1R;1;118,02;Kanada
1450;2001-01-15;M6S;1;118,02;Kanada
1894;2001-01-15;K2P;1;682,2375;Kanada
1960;2001-01-15;R3S;1;97,0725;Kanada
2234;2001-01-15;L4Y;1;65,5725;Kanada
2234;2001-01-15;H1B;2;131,145;Kanada
2235;2001-01-15;L5P;2;131,145;Kanada
2255;2001-01-15;R3N;1;57,6975;Kanada
2279;2001-01-15;R3V;1;165,3225;Kanada
2388;2001-01-15;H1G;1;309,6975;Kanada
396;2001-02-15;M4V;2;1714,125;Kanada
491;2001-02-15;M4E;1;815,325;Kanada
609;2001-02-15;M4Y;1;778,8375;Kanada
631;2001-02-15;R3B;1;346,2375;Kanada
676;2001-02-15;R3G;1;801,9375;Kanada
683;2001-02-15;R3H;1;788,025;Kanada
683;2001-02-15;K1R;1;788,025;Kanada
725;2001-02-15;M7Y;1;115,4475;Kanada
747;2001-02-15;L5N;1;291,3225;Kanada
767;2001-02-15;R3H;1;104,9475;Kanada
770;2001-02-15;L5N;1;257,1975;Kanada
853;2001-02-15;M4Y;1;456,6975;Kanada
901;2001-02-15;R3B;1;409,4475;Kanada
910;2001-02-15;R2Y;1;414,6975;Kanada
1014;2001-02-15;R3C;1;86,5725;Kanada
1111;2001-02-15;R3T;1;116,4975;Kanada
1133;2001-02-15;R3M;1;629,9475;Kanada
1166;2001-02-15;R3W;1;535,4475;Kanada
1173;2001-02-15;R3V;1;524,9475;Kanada
1230;2001-02-15;M4E;1;524,9475;Kanada
1920;2001-02-15;L5N;1;280,8225;Kanada
2045;2001-02-15;L5N;1;409,4475;Kanada
2074;2001-02-15;M4V;1;328,0725;Kanada
2081;2001-02-15;M7Y;1;220,4475;Kanada
2254;2001-02-15;R3B;1;57,6975;Kanada
2254;2001-02-15;M4V;1;57,6975;Kanada
94;2001-02-15;R3H;1;866,25;Kanada
475;2001-02-15;M5L;1;970,2;Kanada
550;2001-02-15;R3W;1;403,9875;Kanada
604;2001-02-15;R3G;2;923,475;Kanada
120;2001-02-15;T6R;1;829,5;Kanada
499;2001-02-15;T5W;1;828,1875;Kanada
580;2001-02-15;V5N;1;734,7375;Kanada
604;2001-02-15;V6H;1;461,7375;Kanada
609;2001-02-15;T6E;1;778,8375;Kanada
725;2001-02-15;V5N;1;115,4475;Kanada
754;2001-02-15;V7N;1;244,0725;Kanada
757;2001-02-15;T6E;1;83,9475;Kanada
770;2001-02-15;T6J;1;257,1975;Kanada
940;2001-02-15;T2C;1;687,6975;Kanada
979;2001-02-15;V5W;1;409,4475;Kanada
992;2001-02-15;V6G;1;278,1975;Kanada
1008;2001-02-15;V5Z;1;236,1975;Kanada
1066;2001-02-15;T1Y;1;296,5725;Kanada
1122;2001-02-15;T3G;1;157,4475;Kanada
1185;2001-02-15;T5K;2;839,895;Kanada
1185;2001-02-15;T6G;1;419,9475;Kanada
1188;2001-02-15;T5K;1;472,4475;Kanada
1188;2001-02-15;V7R;1;472,4475;Kanada
1426;2001-02-15;V5Z;1;286,02;Kanada
1974;2001-02-15;T6T;1;52,4475;Kanada
2045;2001-02-15;V6L;1;409,4475;Kanada
2050;2001-02-15;T6K;1;498,6975;Kanada
2056;2001-02-15;T6G;1;325,4475;Kanada
2373;2001-02-15;T6J;1;551,1975;Kanada
2374;2001-02-15;V7M;1;629,9475;Kanada
2388;2001-02-15;T3G;1;309,6975;Kanada
2331;2001-02-15;T2X;1;535,4475;Kanada
2407;2001-02-15;T3G;1;73,4475;Kanada
94;2001-02-15;T6V;1;866,25;Kanada
120;2001-02-15;T3J;1;829,5;Kanada
443;2001-02-15;T5Y;1;790,9125;Kanada
645;2001-02-15;T6T;1;746,55;Kanada
658;2001-02-15;T5W;1;902,7375;Kanada
681;2001-02-15;T6E;1;629,7375;Kanada
739;2001-02-15;V5N;1;170,5725;Kanada
753;2001-02-15;V7N;1;244,0725;Kanada
767;2001-02-15;V6M;1;104,9475;Kanada
838;2001-02-15;V6Z;1;934,4475;Kanada
1173;2001-02-15;V6C;1;524,9475;Kanada
1182;2001-02-15;R2L;1;157,4475;Kanada
1450;2001-02-15;T6V;1;118,02;Kanada
2388;2001-02-15;T2C;1;309,6975;Kanada
396;2001-02-15;V5V;1;857,0625;Kanada
599;2001-02-15;T6J;1;753,6375;Kanada
609;2001-02-15;T2J;1;778,8375;Kanada
725;2001-02-15;V5Z;1;115,4475;Kanada
728;2001-02-15;V5Z;1;62,9475;Kanada
740;2001-02-15;V6A;1;170,5725;Kanada
1065;2001-02-15;T1Y;1;296,5725;Kanada
1116;2001-02-15;T6E;1;251,9475;Kanada
1185;2001-02-15;T6K;1;419,9475;Kanada
1425;2001-02-15;V5Z;1;286,02;Kanada
1641;2001-02-15;T6K;1;70,77;Kanada
1949;2001-02-15;V6M;1;293,9475;Kanada
1975;2001-02-15;T6T;1;52,4475;Kanada
2210;2001-02-15;V7Y;1;107,5725;Kanada
396;2001-02-15;V7W;1;857,0625;Kanada
683;2001-02-15;T2Y;1;788,025;Kanada
687;2001-02-15;T6T;1;445,9875;Kanada
727;2001-02-15;V5Z;1;62,9475;Kanada
739;2001-02-15;V6A;1;170,5725;Kanada
739;2001-02-15;V6T;1;170,5725;Kanada
757;2001-02-15;T2A;1;83,9475;Kanada
758;2001-02-15;T6E;1;83,9475;Kanada
964;2001-02-15;T5V;1;346,4475;Kanada
990;2001-02-15;T6E;1;503,9475;Kanada
1960;2001-02-15;T5Y;1;97,0725;Kanada
2056;2001-02-15;T2X;1;325,4475;Kanada
2211;2001-02-15;V7Y;1;107,5725;Kanada
2279;2001-02-15;V7M;1;165,3225;Kanada
2388;2001-02-15;V7Y;1;309,6975;Kanada
491;2001-02-15;T3R;1;815,325;Kanada
550;2001-02-15;V6T;1;403,9875;Kanada
663;2001-02-15;V6T;1;765,45;Kanada
726;2001-02-15;V5N;1;115,4475;Kanada
726;2001-02-15;V6M;1;115,4475;Kanada
1173;2001-02-15;V6M;1;524,9475;Kanada
2373;2001-02-15;T6S;1;551,1975;Kanada
330;2001-02-15;T6V;1;577,2375;Kanada
499;2001-02-15;V6Z;1;846,3;Kanada
604;2001-02-15;R2M;1;461,7375;Kanada
727;2001-02-15;T6T;1;62,9475;Kanada
758;2001-02-15;T2A;1;83,9475;Kanada
1014;2001-02-15;T5H;1;86,5725;Kanada
1014;2001-02-15;T5J;2;173,145;Kanada
1157;2001-02-15;T6K;1;377,9475;Kanada
1167;2001-02-15;V5T;1;309,6975;Kanada
1948;2001-02-15;V6M;1;293,9475;Kanada
1961;2001-02-15;T5Y;1;97,0725;Kanada
2254;2001-02-15;T5K;1;57,6975;Kanada
683;2001-02-15;R2N;1;788,025;Kanada
726;2001-02-15;V5Z;1;115,4475;Kanada
740;2001-02-15;V6T;1;170,5725;Kanada
768;2001-02-15;V6M;1;104,9475;Kanada
990;2001-02-15;T2Z;1;456,6975;Kanada
1173;2001-02-15;R2V;1;524,9475;Kanada
2047;2001-02-15;R3C;1;377,9475;Kanada
990;2001-02-15;M4R;1;482,9475;Kanada
2277;2001-02-15;K1Y;1;251,9475;Kanada
2388;2001-02-15;K1K;1;309,6975;Kanada
559;2001-02-15;K1K;1;585,6375;Kanada
2407;2001-02-15;R3B;1;73,4475;Kanada
580;2001-02-15;M4M;1;734,7375;Kanada
2279;2001-02-15;R3E;1;165,3225;Kanada
1330;2001-02-15;R3E;1;92,82;Kanada
962;2001-02-15;L5G;1;524,9475;Kanada
609;2001-02-15;L5G;1;778,8375;Kanada
1003;2001-02-15;K1A;1;86,5725;Kanada
400;2001-02-15;K1A;1;683,8125;Kanada
2045;2001-02-15;K1P;1;409,4475;Kanada
753;2001-02-15;R3E;1;244,0725;Kanada
2277;2001-02-15;M6S;1;251,9475;Kanada
2284;2001-02-15;K1Y;1;293,9475;Kanada
2056;2001-02-15;M4E;1;325,4475;Kanada
1225;2001-02-15;T6G;1;236,1975;Kanada
2050;2001-02-15;T2J;1;498,6975;Kanada
2255;2001-02-15;T5K;1;57,6975;Kanada
2331;2001-02-15;V6C;1;535,4475;Kanada
1003;2001-02-15;K1H;3;259,7175;Kanada
1065;2001-02-15;K2P;1;296,5725;Kanada
609;2001-02-15;L5T;1;778,8375;Kanada
609;2001-02-15;M6G;1;778,8375;Kanada
631;2001-02-15;L5N;1;346,2375;Kanada
754;2001-02-15;R3E;1;244,0725;Kanada
990;2001-02-15;K1S;1;482,9475;Kanada
1230;2001-02-15;M4R;1;524,9475;Kanada
1329;2001-02-15;R3E;1;92,82;Kanada
1957;2001-02-15;R3G;2;307,545;Kanada
2056;2001-02-15;L4X;1;320,1975;Kanada
2056;2001-02-15;L5R;1;325,4475;Kanada
2074;2001-02-15;M5P;1;328,0725;Kanada
2199;2001-02-15;R3H;1;178,4475;Kanada
2234;2001-02-15;R3B;1;65,5725;Kanada
2331;2001-02-15;R2W;1;535,4475;Kanada
396;2001-02-15;M4T;1;857,0625;Kanada
400;2001-02-15;K1N;1;683,8125;Kanada
491;2001-02-15;R3G;1;815,325;Kanada
609;2001-02-15;L4X;1;778,8375;Kanada
609;2001-02-15;M4E;1;778,8375;Kanada
676;2001-02-15;M5X;1;801,9375;Kanada
768;2001-02-15;R3H;1;104,9475;Kanada
768;2001-02-15;L5N;2;209,895;Kanada
1046;2001-02-15;M6S;1;99,6975;Kanada
1065;2001-02-15;R3V;1;296,5725;Kanada
1066;2001-02-15;K2P;1;296,5725;Kanada
1120;2001-02-15;R3V;1;173,1975;Kanada
1173;2001-02-15;M7Y;1;524,9475;Kanada
1974;2001-02-15;M6H;1;52,4475;Kanada
2047;2001-02-15;R3A;1;377,9475;Kanada
2255;2001-02-15;R3B;1;57,6975;Kanada
2373;2001-02-15;K1K;1;551,1975;Kanada
396;2001-02-15;M4R;1;857,0625;Kanada
475;2001-02-15;R3H;1;970,2;Kanada
559;2001-02-15;R3H;1;585,6375;Kanada
599;2001-02-15;M6H;1;753,6375;Kanada
748;2001-02-15;L5N;1;291,3225;Kanada
990;2001-02-15;R2R;1;530,1975;Kanada
1191;2001-02-15;R3G;1;262,4475;Kanada
2235;2001-02-15;R3B;1;65,5725;Kanada
596;2001-02-15;T1Y;1;746,55;Kanada
597;2001-02-15;V7W;1;892,2375;Kanada
606;2001-02-15;V5M;1;314,7375;Kanada
658;2001-02-15;T5G;1;902,7375;Kanada
725;2001-02-15;V6M;1;115,4475;Kanada
728;2001-02-15;T6T;1;62,9475;Kanada
740;2001-02-15;V5N;1;170,5725;Kanada
769;2001-02-15;T6J;1;257,1975;Kanada
862;2001-02-15;T6E;1;162,6975;Kanada
922;2001-02-15;V7W;1;472,4475;Kanada
1014;2001-02-15;T6R;1;86,5725;Kanada
1045;2001-02-15;V5N;1;207,3225;Kanada
1133;2001-02-15;T2X;1;629,9475;Kanada
1191;2001-02-15;V6Z;1;262,4475;Kanada
1449;2001-02-15;T6V;1;118,02;Kanada
2284;2001-02-15;V7Y;1;293,9475;Kanada
443;2001-02-15;V6T;1;790,9125;Kanada
491;2001-02-15;V6Z;2;1630,65;Kanada
550;2001-02-15;T5N;1;403,9875;Kanada
767;2001-02-15;L5N;2;209,895;Kanada
1185;2001-02-15;L5N;1;419,9475;Kanada
769;2001-02-15;L5N;1;257,1975;Kanada
1225;2001-02-15;L5N;1;236,1975;Kanada
2254;2001-02-15;K1N;1;57,6975;Kanada
2255;2001-02-15;K1N;1;57,6975;Kanada
2407;2001-02-15;R3H;1;73,4475;Kanada
726;2001-02-15;R3H;1;115,4475;Kanada
1330;2001-02-15;R3H;1;92,82;Kanada
725;2001-02-15;R3H;1;115,4475;Kanada
1329;2001-02-15;R3H;1;92,82;Kanada
2255;2001-02-15;M4V;1;57,6975;Kanada
823;2001-02-15;R3X;1;619,4475;Kanada
901;2001-02-15;M7Y;1;409,4475;Kanada
2016;2001-02-15;M7Y;1;299,1975;Kanada
726;2001-02-15;M7Y;1;115,4475;Kanada
550;2001-02-15;M7Y;1;403,9875;Kanada
2331;2001-02-15;R3X;1;535,4475;Kanada
989;2001-02-15;M6H;1;467,1975;Kanada
1975;2001-02-15;M6H;1;52,4475;Kanada
770;2001-02-15;L5P;1;257,1975;Kanada
901;2001-02-15;L5P;1;409,4475;Kanada
992;2001-02-15;H1B;1;288,6975;Kanada
769;2001-02-15;L5P;1;257,1975;Kanada
990;2001-02-15;R3N;1;472,4475;Kanada
599;2001-02-15;M6G;1;753,6375;Kanada
2064;2001-02-15;M5R;1;488,1975;Kanada
1066;2001-02-15;R3V;1;296,5725;Kanada
1131;2001-02-15;R3G;1;419,9475;Kanada
753;2001-02-15;R3G;1;244,0725;Kanada
2234;2001-02-15;R3G;1;65,5725;Kanada
1956;2001-02-15;R3G;2;307,545;Kanada
606;2001-02-15;R3G;1;314,7375;Kanada
754;2001-02-15;R3G;1;244,0725;Kanada
2235;2001-02-15;R3G;1;65,5725;Kanada
1112;2001-02-15;R3T;1;116,4975;Kanada
1425;2001-02-15;R3T;1;286,02;Kanada
1426;2001-02-15;R3T;1;286,02;Kanada
94;2001-02-15;H1B;1;866,25;Kanada
609;2001-02-15;H1B;1;778,8375;Kanada
914;2001-02-15;R3W;1;577,4475;Kanada
1734;2001-03-08;T1Y;1;449,8725;Kanada
1735;2001-03-08;T1Y;1;449,8725;Kanada
396;2001-03-15;V6C;1;857,0625;Kanada
550;2001-03-15;V6H;1;403,9875;Kanada
596;2001-03-15;V6T;1;746,55;Kanada
604;2001-03-15;T6E;1;461,7375;Kanada
606;2001-03-15;T2A;1;314,7375;Kanada
631;2001-03-15;V5W;1;346,2375;Kanada
663;2001-03-15;T2J;1;765,45;Kanada
93;2001-03-15;V6A;1;992,25;Kanada
396;2001-03-15;V7M;1;857,0625;Kanada
475;2001-03-15;V5N;1;970,2;Kanada
488;2001-03-15;T6J;1;970,2;Kanada
491;2001-03-15;V6C;2;1630,65;Kanada
676;2001-03-15;T6B;1;801,9375;Kanada
681;2001-03-15;T6E;1;629,7375;Kanada
725;2001-03-15;T6H;1;115,4475;Kanada
739;2001-03-15;V5N;1;170,5725;Kanada
767;2001-03-15;T2X;1;104,9475;Kanada
901;2001-03-15;V6R;1;409,4475;Kanada
964;2001-03-15;V5Z;1;346,4475;Kanada
1008;2001-03-15;V6Z;1;236,1975;Kanada
1081;2001-03-15;T3G;1;225,6975;Kanada
1105;2001-03-15;T5V;1;246,6975;Kanada
1109;2001-03-15;T2J;1;209,9475;Kanada
1166;2001-03-15;T2C;1;535,4475;Kanada
1166;2001-03-15;T5J;1;535,4475;Kanada
1168;2001-03-15;V6Z;1;367,4475;Kanada
1173;2001-03-15;T2J;1;524,9475;Kanada
962;2001-03-15;M4Y;1;524,9475;Kanada
989;2001-03-15;M5X;1;451,4475;Kanada
1003;2001-03-15;K1G;2;173,145;Kanada
1082;2001-03-15;R3V;1;225,6975;Kanada
1949;2001-03-15;M4E;1;296,5725;Kanada
2016;2001-03-15;L5N;1;299,1975;Kanada
2235;2001-03-15;M6H;1;65,5725;Kanada
2254;2001-03-15;K1P;1;57,6975;Kanada
2388;2001-03-15;K1S;1;309,6975;Kanada
330;2001-03-15;M7Y;1;577,2375;Kanada
396;2001-03-15;L5N;1;857,0625;Kanada
400;2001-03-15;R3K;1;683,8125;Kanada
443;2001-03-15;R3S;1;790,9125;Kanada
604;2001-03-15;R3G;1;461,7375;Kanada
609;2001-03-15;M4V;1;778,8375;Kanada
609;2001-03-15;M5L;1;778,8375;Kanada
631;2001-03-15;M5P;1;346,2375;Kanada
901;2001-03-15;M5B;1;409,4475;Kanada
910;2001-03-15;L5N;1;414,6975;Kanada
914;2001-03-15;M4V;1;603,6975;Kanada
1065;2001-03-15;R3H;1;296,5725;Kanada
1066;2001-03-15;R3E;1;296,5725;Kanada
1066;2001-03-15;M5X;1;296,5725;Kanada
1166;2001-03-15;H1B;1;535,4475;Kanada
1105;2001-03-15;V6Z;1;246,6975;Kanada
1111;2001-03-15;V6H;1;116,4975;Kanada
1168;2001-03-15;T6E;1;367,4475;Kanada
1188;2001-03-15;T5V;1;472,4475;Kanada
1191;2001-03-15;T6J;1;262,4475;Kanada
1230;2001-03-15;T5K;1;519,6975;Kanada
1230;2001-03-15;V5W;1;519,6975;Kanada
1975;2001-03-15;V5N;1;52,4475;Kanada
1990;2001-03-15;V6C;1;257,1975;Kanada
2045;2001-03-15;T5K;1;409,4475;Kanada
2045;2001-03-15;V6J;1;409,4475;Kanada
2064;2001-03-15;V5T;1;488,1975;Kanada
2235;2001-03-15;V6A;1;65,5725;Kanada
2254;2001-03-15;T6E;1;57,6975;Kanada
2373;2001-03-15;T2N;1;551,1975;Kanada
2380;2001-03-15;T2J;1;309,6975;Kanada
2407;2001-03-15;V7Y;1;73,4475;Kanada
